const_num,constituency,votes,total_electors,Year,vote_share_percentage,vote_share_percent
153,Yeshvanthapura,1453,474817,2018,0.30601263223515585,0.30601263223515585
154,Rajarajeshwarinagar,2724,471900,2018,0.5772409408773045,0.5772409408773045
155,Dasarahalli,2011,449950,2018,0.44693854872763644,0.44693854872763644
156,Mahalakshmi Layout,1739,292364,2018,0.5948064741213008,0.5948064741213008
157,Malleshwaram,2157,218931,2018,0.9852419255381833,0.9852419255381833
158,Hebbal,1450,265312,2018,0.5465263538776988,0.5465263538776988
159,Pulakeshinagar,1402,237288,2018,0.5908431947675399,0.5908431947675399
160,Sarvagnanagar,2405,347559,2018,0.6919688455772977,0.6919688455772977
161,C.V. Raman Nagar,2261,269010,2018,0.8404892011449389,0.8404892011449389
162,Shivajinagar,1654,196776,2018,0.8405496605277066,0.8405496605277066
163,Shanti Nagar,1386,226046,2018,0.6131495359351636,0.6131495359351636
164,Gandhi Nagar,2074,229803,2018,0.9025121517125537,0.9025121517125537
165,Rajaji Nagar,1931,211132,2018,0.9145937138851524,0.9145937138851524
166,Govindraj Nagar,1589,292976,2018,0.5423652449347387,0.5423652449347387
167,Vijay Nagar,1967,312449,2018,0.6295427413753925,0.6295427413753925
168,Chamrajpet,726,220951,2018,0.3285796398296455,0.3285796398296455
169,Chickpet,1340,223686,2018,0.5990540310971629,0.5990540310971629
170,Basavanagudi,1856,245328,2018,0.7565381856127308,0.7565381856127308
171,Padmanaba Nagar,2404,278223,2018,0.8640550924977446,0.8640550924977446
172,B.T.M.Layout,2365,270500,2018,0.8743068391866914,0.8743068391866914
174,Mahadevapura,3482,504890,2018,0.6896551724137931,0.6896551724137931
175,Bommanahalli,2491,414080,2018,0.6015745749613601,0.6015745749613601
176,Bangalore South,3952,603939,2018,0.6543707228710185,0.6543707228710185
177,Anekal,2115,359550,2018,0.5882352941176471,0.5882352941176471
178,Hosakote,539,213750,2018,0.2521637426900585,0.2521637426900585
179,Devanahalli,1300,202254,2018,0.6427561383211209,0.6427561383211209
180,Doddaballapur,1016,203231,2018,0.49992373210779856,0.49992373210779856
181,Nelamangala,1151,203761,2018,0.5648774790072684,0.5648774790072684
182,Magadi,839,224869,2018,0.37310611956294554,0.37310611956294554
183,Ramanagaram,1144,206999,2018,0.5526596746844188,0.5526596746844188
184,Kanakapura,1168,222602,2018,0.5247032820909066,0.5247032820909066
185,Channapatna,1103,217606,2018,0.5068794058987345,0.5068794058987345
186,Malavalli,1471,238777,2018,0.6160559852917158,0.6160559852917158
187,Maddur,1350,205471,2018,0.6570270257116576,0.6570270257116576
188,Melukote,979,195487,2018,0.5008005647434356,0.5008005647434356
189,Mandya,1008,227644,2018,0.4427966473968125,0.4427966473968125
190,Shrirangapattana,946,208945,2018,0.4527507238747039,0.4527507238747039
191,Nagamangala,647,206678,2018,0.3130473490163443,0.3130473490163443
192,Krishnarajpet,1093,205554,2018,0.5317337536608385,0.5317337536608385
193,Shravanabelagola,906,202255,2018,0.44794937084373687,0.44794937084373687
194,Arsikere,1079,208389,2018,0.5177816487434557,0.5177816487434557
195,Belur,1106,190544,2018,0.5804433621630699,0.5804433621630699
196,Hassan,953,212952,2018,0.44751868965776326,0.44751868965776326
197,Holenarasipur,984,209086,2018,0.4706197449853171,0.4706197449853171
198,Arkalgud,1189,215604,2018,0.5514739986271127,0.5514739986271127
199,Sakaleshpur,1597,195717,2018,0.8159740850309375,0.8159740850309375
200,Belthangady,1245,218935,2018,0.5686619316235413,0.5686619316235413
201,Moodabidri,1037,200066,2018,0.5183289514460229,0.5183289514460229
202,Mangalore City North,1166,234856,2018,0.49647443539871244,0.49647443539871244
203,Mangalore City South,1063,240092,2018,0.44274694700364864,0.44274694700364864
204,Mangalore,821,195746,2018,0.4194210865100692,0.4194210865100692
205,Bantval,946,221765,2018,0.426577683583974,0.426577683583974
206,Puttur,1227,201948,2018,0.6075821498603601,0.6075821498603601
207,Sullia,1310,198823,2018,0.658877494052499,0.658877494052499
208,Madikeri,1615,217386,2018,0.7429181272023038,0.7429181272023038
209,Virajpet,1733,217457,2018,0.7969391649843418,0.7969391649843418
210,Periyapatna,1178,180460,2018,0.6527762385016069,0.6527762385016069
211,Krishnarajanagara,1193,204182,2018,0.584282649792832,0.584282649792832
212,Hunsur,1534,224619,2018,0.682934213045201,0.682934213045201
213,Heggadadevankote,1596,214900,2018,0.742671009771987,0.742671009771987
214,Nanjangud,1947,209121,2018,0.9310399242543791,0.9310399242543791
215,Chamundeshwari,1549,295843,2018,0.5235885249946762,0.5235885249946762
216,Krishnaraja,1441,247135,2018,0.5830821211078965,0.5830821211078965
217,Chamaraja,1561,235672,2018,0.6623612478359755,0.6623612478359755
218,Narasimharaja,1206,262066,2018,0.46018941793288715,0.46018941793288715
219,Varuna,1497,221053,2018,0.6772131570256906,0.6772131570256906
220,T.Narasipur,1660,198441,2018,0.8365206786903915,0.8365206786903915
221,Hanur,1373,207662,2018,0.6611705559996532,0.6611705559996532
222,Kollegal,1524,211555,2018,0.7203800430148188,0.7203800430148188
223,Chamarajanagar,2063,206162,2018,1.000669376509735,1.000669376509735
224,Gundlupet,1231,205646,2018,0.5986014802135708,0.5986014802135708
1,Nippani,919,226662,2023,0.40544952396078743,0.40544952396078743
2,Chikkodi-Sadalga,957,224693,2023,0.4259144699656865,0.4259144699656865
3,Athani,1037,229195,2023,0.45245315124675495,0.45245315124675495
4,Kagwad,985,195985,2023,0.5025894838890732,0.5025894838890732
5,Kudachi,643,193564,2023,0.33218987001715194,0.33218987001715194
6,Raybag,1860,211461,2023,0.8795948189027764,0.8795948189027764
7,Hukkeri,1168,208204,2023,0.560988261512747,0.560988261512747
8,Arabhavi,930,248632,2023,0.37404678400205926,0.37404678400205926
9,Gokak,1060,256471,2023,0.4133020887351786,0.4133020887351786
10,Yemkanmardi,996,203082,2023,0.49044228439743554,0.49044228439743554
11,Belgaum Uttar,1161,251578,2023,0.4614870934660424,0.4614870934660424
12,Belgaum Dakshin,1599,248626,2023,0.6431346681360759,0.6431346681360759
13,Belgaum Rural,1165,259537,2023,0.44887626812362014,0.44887626812362014
14,Khanapur,1236,214456,2023,0.5763420002238222,0.5763420002238222
15,Kittur,802,195886,2023,0.4094218065609589,0.4094218065609589
16,Bailhongal,1319,195828,2023,0.6735502583900157,0.6735502583900157
17,Saundatti Yellamma,586,199847,2023,0.29322431660220066,0.29322431660220066
18,Ramdurg,1646,203880,2023,0.8073376495978026,0.8073376495978026
19,Mudhol,905,201307,2023,0.4495621116006895,0.4495621116006895
20,Terdal,894,227749,2023,0.39253739862743636,0.39253739862743636
21,Jamkhandi,984,214797,2023,0.4581069568010726,0.4581069568010726
22,Bilgi,1329,231594,2023,0.5738490634472395,0.5738490634472395
23,Badami,1479,220435,2023,0.6709460838796016,0.6709460838796016
24,Bagalkot,1236,245532,2023,0.5033967059283515,0.5033967059283515
25,Hungund,1053,222676,2023,0.47288437011622264,0.47288437011622264
26,Muddebihal,1234,217281,2023,0.5679281667518099,0.5679281667518099
27,Devar Hippargi,695,219228,2023,0.317021548342365,0.317021548342365
28,Basavana Bagevadi,838,210088,2023,0.3988804691367427,0.3988804691367427
29,Babaleshwar,611,217491,2023,0.2809311649677458,0.2809311649677458
30,Bijapur City,994,281726,2023,0.3528250853666328,0.3528250853666328
31,Nagthan,1016,269309,2023,0.37726180706920304,0.37726180706920304
32,Indi,886,242910,2023,0.3647441439216171,0.3647441439216171
33,Sindgi,963,236670,2023,0.40689567752566863,0.40689567752566863
34,Afzalpur,1608,228171,2023,0.7047346069395323,0.7047346069395323
35,Jevargi,1146,239914,2023,0.47767116550097116,0.47767116550097116
36,Shorapur,1259,275483,2023,0.4570154964190168,0.4570154964190168
37,Shahapur,1252,238979,2023,0.523895405035589,0.523895405035589
38,Yadgir,1609,237435,2023,0.6776591488196769,0.6776591488196769
39,Gurmitkal,1416,248181,2023,0.570551331487906,0.570551331487906
40,Chittapur,816,235755,2023,0.34612203346694664,0.34612203346694664
41,Sedam,691,225688,2023,0.3061748963170395,0.3061748963170395
42,Chincholi,1003,203600,2023,0.49263261296660116,0.49263261296660116
43,Gulbarga Rural,839,257752,2023,0.32550668859989446,0.32550668859989446
44,Gulbarga Dakshin,1284,279251,2023,0.4598013973092308,0.4598013973092308
45,Gulbarga Uttar,934,307091,2023,0.3041443741431693,0.3041443741431693
46,Aland,1316,241750,2023,0.544364012409514,0.544364012409514
47,Basavakalyan,502,246581,2023,0.2035842177621147,0.2035842177621147
48,Humnabad,729,245996,2023,0.2963462820533667,0.2963462820533667
49,Bidar South,671,205201,2023,0.3269964571322752,0.3269964571322752
50,Bidar,543,228035,2023,0.2381213410222115,0.2381213410222115
51,Bhalki,851,230959,2023,0.3684636667114076,0.3684636667114076
52,Aurad,464,219444,2023,0.21144346621461513,0.21144346621461513
53,Raichur Rural,1456,229071,2023,0.6356107931601992,0.6356107931601992
54,Raichur,588,232744,2023,0.25263809163716355,0.25263809163716355
55,Manvi,1255,233867,2023,0.5366297938571923,0.5366297938571923
56,Devadurga,2751,233492,2023,1.1781988247991366,1.1781988247991366
57,Lingsugur,1325,255628,2023,0.5183313252069414,0.5183313252069414
58,Sindhanur,1065,239285,2023,0.4450759554506133,0.4450759554506133
